"order_id";"order_date";"customer_id";"product_id";"category";"region";"payment_method";"quantity";"price";"discount_percent";"shipping_cost";"refund_status";"fraud_flag";"delivery_days";"customer_rating"
"ORD001";"2025-01-01";"C001";"P001";"Electronics";"Jakarta";"E-Wallet";1;8500000.0;10;25000.0;"No";"Normal";2;5
"ORD002";"2025-01-01";"C002";"P004";"Fashion";"Surabaya";"Credit Card";3;350000.0;20;18000.0;"No";"Normal";4;4
"ORD003";"2025-01-02";"C003";"P002";"Electronics";"Bandung";"Bank Transfer";1;12500000.0;5;30000.0;"Yes";"Fraud";9;1
"ORD004";"2025-01-02";"C004";"P005";"Beauty";"Jakarta";"E-Wallet";2;120000.0;15;12000.0;"No";"Normal";2;5
"ORD005";"2025-01-03";"C005";"P006";"Home";"Medan";"COD";1;750000.0;35;50000.0;"Yes";"Normal";8;2
"ORD006";"2025-01-03";"C001";"P003";"Electronics";"Jakarta";"E-Wallet";2;6500000.0;5;25000.0;"No";"Normal";3;5
"ORD007";"2025-01-04";"C006";"P004";"Fashion";"Semarang";"Credit Card";5;350000.0;50;25000.0;"Yes";"Fraud";10;1
"ORD008";"2025-01-04";"C007";"P007";"Grocery";"Bali";"E-Wallet";6;45000.0;0;10000.0;"No";"Normal";1;5
"ORD009";"2025-01-05";"C008";"P008";"Sports";"Jakarta";"Bank Transfer";1;1500000.0;25;22000.0;"No";"Normal";5;3
"ORD010";"2025-01-05";"C009";"P009";"Beauty";"Surabaya";"E-Wallet";4;90000.0;10;14000.0;"No";"Normal";2;4
