"product_id";"product_name";"category";"price";"stock_quality";"discount"
1;"Laptop Pro 15";"Laptop";1500.0;100;0.0
2;"Smartphone X";"Smartphone";800.0;200;0.0
3;"Wireless Mouse";"Accessories";25.0;500;0.0
4;"USB-C Charger";"Accessories";20.0;300;0.0
5;"Gaming Laptop";"Laptop";2000.0;50;10.0
6;"Budget Smartphone";"Smartphone";300.0;150;5.0
7;"Noise Cancelling Headphones";"Accessories";150.0;120;15.0
8;"Wireless Earphones";"Accessories";100.0;100;10.0
9;"Laptop Pro 15";"Laptop";1500.0;100;0.0
10;"Smartphone X";"Smartphone";800.0;200;0.0
11;"Wireless Mouse";"Accessories";25.0;500;0.0
12;"USB-C Charger";"Accessories";20.0;300;0.0
13;"Gaming Laptop";"Laptop";2000.0;50;10.0
14;"Budget Smartphone";"Smartphone";300.0;150;5.0
15;"Noise Cancelling Headphones";"Accessories";150.0;120;15.0
16;"Wireless Earphones";"Accessories";100.0;100;10.0
17;"Laptop Pro 15";"Laptop";1500.0;100;0.0
18;"Smartphone X";"Smartphone";800.0;200;0.0
19;"Wireless Mouse";"Accessories";25.0;500;0.0
20;"USB-C Charger";"Accessories";20.0;300;0.0
21;"Gaming Laptop";"Laptop";2000.0;50;10.0
22;"Budget Smartphone";"Smartphone";300.0;150;5.0
23;"Noise Cancelling Headphones";"Accessories";150.0;120;15.0
24;"Wireless Earphones";"Accessories";100.0;100;10.0
