"ticket_id";"customer_id";"employee_id";"issue";"status_";"create_at";"resolved_at"
1;1;1;"Cannot connect to Wi-Fi";"resolved";"2023-07-01 10:00:00";"2023-07-01 11:00:00"
2;2;1;"Screen flickering";"resolved";"2023-07-02 12:00:00";"2023-07-02 13:00:00"
3;3;1;"Battery drains quickly";"open";"2023-07-03 14:00:00";""
4;4;2;"Late delivery";"resolved";"2023-07-04 15:00:00";"2023-07-04 16:00:00"
5;5;2;"Damaged product";"open";"2023-07-05 17:00:00";""
6;1;3;"Software issue";"resolved";"2023-07-06 18:00:00";"2023-07-06 19:00:00"
7;2;3;"Bluetooth connectivity issue";"resolved";"2023-07-07 20:00:00";"2023-07-07 21:00:00"
8;5;4;"Account issue";"open";"2023-07-08 22:00:00";""
9;3;4;"Payment issue";"resolved";"2023-07-09 23:00:00";"2023-07-09 23:30:00"
10;4;5;"Physical damage";"open";"2023-07-10 08:00:00";""
11;4;1;"Laptop blue screen";"resolved";"2024-01-05 10:00:00";"2024-02-05 12:00:00"
12;5;1;"Laptop lagging";"resolved";"2024-01-06 10:00:00";"2024-01-25 12:00:00"
13;3;1;"Some part of laptop broken";"resolved";"2024-02-05 10:00:00";"2024-03-05 12:00:00"
